,name,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,tempo,valence
0,Flowers,200600,90,0.0584,0.706,0.691,6.99e-05,0.0232,-4.775,118.048,0.632
1,Kill Bill,153946,86,0.0521,0.644,0.735,0.144,0.161,-5.747,88.98,0.418
2,As It Was,167303,91,0.342,0.52,0.731,0.00101,0.311,-5.338,173.93,0.662
3,Seven (feat. Latto) (Explicit Ver.),183550,85,0.312,0.79,0.831,0.0,0.0797,-4.185,124.987,0.872
4,Ella Baila Sola,165671,77,0.483,0.668,0.758,1.89e-05,0.0837,-5.176,147.989,0.834
5,Cruel Summer,178426,93,0.117,0.552,0.702,2.06e-05,0.105,-5.707,169.994,0.564
6,Creepin' (with The Weeknd & 21 Savage),221520,84,0.391,0.716,0.613,0.0,0.0813,-6.018,97.914,0.157
7,Calm Down (with Selena Gomez),239317,75,0.382,0.801,0.806,0.000669,0.114,-5.206,106.999,0.802
8,"Shakira: Bzrp Music Sessions, Vol. 53",214945,78,0.281,0.842,0.745,2.61e-05,0.118,-4.231,122.06,0.53
9,Anti-Hero,200690,85,0.121,0.633,0.648,2.62e-06,0.161,-6.645,96.888,0.49
10,I Wanna Be Yours,183956,91,0.136,0.464,0.417,0.022,0.0974,-9.345,67.528,0.479
11,TQG,197933,82,0.619,0.587,0.647,0.0,0.106,-3.385,90.123,0.686
12,La Bebe - Remix,234352,83,0.213,0.812,0.479,1.21e-06,0.0756,-5.678,169.922,0.559
13,I'm Good (Blue),175238,88,0.00383,0.561,0.965,7.07e-06,0.371,-3.673,128.04,0.304
14,Die For You,260253,85,0.111,0.586,0.525,0.0,0.134,-7.163,133.629,0.508
15,un x100to,194563,80,0.213,0.571,0.72,0.0,0.271,-4.089,83.827,0.542
16,Unholy (feat. Kim Petras),156943,76,0.0138,0.719,0.454,4.83e-06,0.318,-7.384,131.007,0.224
17,La Bachata,162637,85,0.583,0.835,0.679,1.98e-06,0.218,-5.329,124.98,0.85
18,Boy's a liar Pt. 2,131013,72,0.252,0.696,0.809,0.000128,0.248,-8.254,132.962,0.857
19,Daylight,212953,87,0.83,0.508,0.43,0.000441,0.093,-9.475,130.09,0.324
20,Another Love,244360,63,0.717,0.442,0.538,2.95e-05,0.09,-8.55,122.758,0.139
21,Starboy,230453,89,0.141,0.679,0.587,6.35e-06,0.137,-7.015,186.003,0.486
22,Yandel 150,216148,75,0.0492,0.783,0.729,0.000272,0.1,-3.549,167.968,0.58
23,Cupid - Twin Ver.,174253,53,0.435,0.783,0.592,4.15e-06,0.347,-8.332,120.018,0.726
24,Die For You (with Ariana Grande) - Remix,232857,78,0.276,0.568,0.485,0.0,0.323,-7.635,66.961,0.517
25,I Ain't Worried,148120,52,0.0808,0.696,0.797,7.12e-05,0.0682,-6.477,139.999,0.81
26,Here With Me,242484,42,0.534,0.574,0.469,9.21e-05,0.128,-8.209,132.023,0.288
27,Last Night,163854,84,0.413,0.492,0.673,0.0,0.137,-5.431,203.812,0.488
28,golden hour,209259,78,0.653,0.515,0.593,0.162,0.25,-4.801,94.467,0.153
29,Until I Found You (with Em Beihold) - Em Beihold Version,176440,84,0.777,0.551,0.55,0.0,0.202,-5.339,101.19,0.342
30,LALA,197920,84,0.0739,0.708,0.737,0.00162,0.0955,-4.045,91.986,0.607
31,"Quevedo: Bzrp Music Sessions, Vol. 52",198937,82,0.0125,0.621,0.782,0.033,0.23,-5.548,128.033,0.55
32,Hey Mor,196600,80,0.00302,0.901,0.589,0.000237,0.0992,-6.713,98.002,0.399
33,CLASSY 101,195986,77,0.145,0.859,0.658,0.0,0.12,-4.79,100.065,0.672
34,Paint The Town Red,230480,80,0.255,0.864,0.556,3.85e-06,0.112,-7.683,99.974,0.726
35,Sweater Weather,240400,90,0.0495,0.612,0.807,0.0177,0.101,-2.81,124.053,0.398
36,Snooze,201800,89,0.141,0.559,0.551,0.0,0.11,-7.231,143.008,0.392
37,Blank Space,231826,81,0.103,0.76,0.703,0.0,0.0913,-5.412,95.997,0.57
38,Blinding Lights,200040,88,0.00143,0.513,0.73,9.54e-05,0.0897,-5.94,171.001,0.334
39,WHERE SHE GOES,231704,71,0.143,0.651,0.799,0.634,0.112,-4.02,143.992,0.223
40,Like Crazy,212241,88,0.0025,0.629,0.733,0.0,0.357,-5.445,120.001,0.362
41,Mockingbird,250760,86,0.209,0.637,0.678,0.0,0.156,-3.798,84.039,0.254
42,Escapism.,272373,79,0.138,0.538,0.742,4.67e-05,0.0934,-5.355,96.107,0.25
43,vampire,219724,87,0.154,0.484,0.53,0.0,0.263,-5.821,136.848,0.323
44,PRC,184066,72,0.0965,0.784,0.826,7.09e-05,0.123,-6.34,138.078,0.893
45,See You Again (feat. Kali Uchis),180386,89,0.371,0.558,0.559,7.49e-06,0.109,-9.222,78.558,0.62
46,Me Porto Bonito,178567,84,0.0901,0.911,0.712,2.68e-05,0.0933,-5.105,92.005,0.425
47,OMG,212253,80,0.357,0.804,0.771,3.07e-06,0.108,-4.067,126.956,0.739
48,AMG,174942,75,0.152,0.772,0.73,0.000107,0.274,-6.657,136.175,0.786
49,Romantic Homicide,132630,86,0.453,0.571,0.544,0.00805,0.322,-10.613,132.052,0.216
